GEOID,estimate
21237,22458
21239,62629
22001,41177
22003,41009
22005,76589
22007,44744
22009,38077
22011,50738
22013,30300
22015,53806
22017,40866
22019,49452
22021,32174
22023,55000
22025,38854
22027,27303
22029,31813
22031,44230
22033,52719
22035,21161
22037,48129
22039,32180
22041,35466
22043,40792
22045,45274
22047,47797
22049,38523
22051,52558
22053,39653
22055,54726
22057,53089
22059,36868
22061,34154
22063,63159
22065,27810
22067,33333
22069,27795
22071,39576
22073,41314
22075,52386
22077,44269
22079,44852
22081,33446
22083,34422
22085,39465
22087,46011
22089,66620
22091,39895
22093,50661
22095,54821
22097,33288
22099,47974
22101,40485
22103,67706
22105,46297
22107,23870
22109,48866
22111,43083
22113,50690
22115,47772
22117,34985
22119,30358
22121,60908
22123,36528
22125,55510
22127,35398
23001,51412
23003,39824
23005,69708
23007,48053
23009,53068
23011,52929
23013,55402
23015,55180
23017,47275
23019,49374
23021,39470
23023,62131
23025,42491
23027,51564
23029,41384
23031,65538
24001,44065
24003,97810
24005,74127
24009,104301
24011,54956
24013,93363
24015,72845
24017,95924
24019,52145
24021,91999
24023,49619
24025,85942
24027,117730
24029,56009
24031,106287
24033,81969
24035,92167
24037,90438
24039,42165
24041,67204
24043,59719
24045,56608
24047,61145
24510,48840
25001,70621
25003,56674
25005,66157
25007,71224
25009,75878
25011,59522
25013,53403
25015,67044
25017,97012
25019,105171
25021,99511
25023,85654
25025,64582
25027,71895
26001,39735
26003,46007
26005,59883
26007,41991
26009,52589
26011,40769
26013,42444
26015,61016
26017,48005
26019,56639
26021,49135
26023,50536
26025,47426
26027,53571
26029,53207
26031,46161
26033,44483
26035,37369
26037,67482
26039,47443
26041,46490
26043,48966
26045,62474
26047,54055
26049,47006
26051,43290
26053,38798
26055,61485
26057,44991
26059,48392
26061,42852
26063,46320
26065,50940
26067,54343
26069,42102
26071,38918
26073,44408
26075,51431
26077,54431
26079,46004
26081,60351
26083,49779
26085,34631
26087,58952
26089,63831
26091,53972
26093,80897
26095,42255
26097,46507
26099,60466
26101,47172
26103,50771
26105,49663
26107,44460
26109,45508
26111,59271
26113,44766
26115,61514
26117,47000
26119,42305
26121,48329
26123,46724
26125,76387
26127,46217
26129,40150
26131,38906
26133,42689
26135,40255
26137,52645
26139,67468
26141,46439
26143,40302
26145,46919
26147,55240
26149,50117
26151,45277
26153,40747
26155,54742
26157,47694
26159,52351
26161,69434
26163,45321
26165,44166
27001,45989
27003,79923
27005,59278
27007,47410
27009,56357
27011,51920
27013,55861
27015,57728
27017,60390
27019,97895
27021,50173
27023,54552
27025,80409
27027,65000
27029,46291
27031,52271
27033,53354
27035,54508
27037,83288
27039,71669
27041,60676
27043,52286
27045,59451
27047,52447
27049,64765
27051,55912
27053,74113
27055,58729
27057,55472
27059,72473
27061,53022
27063,57010
27065,53300
27067,59089
27069,57112
27071,47129
27073,52199
27075,59516
27077,49068
27079,67451
27081,52301
27083,55525
27085,61275
27087,44537
27089,58723
27091,53915
27093,61856
27095,53888
27097,54962
27099,53665
27101,57500
27103,65027
27105,54149
27107,55206
27109,74880
27111,57131
27113,59036
27115,49138
27117,52309
27119,57151
27121,58132
27123,62304
27125,56588
27127,53230
27129,57886
27131,65758
27133,59890
27135,59644
27137,53344
27139,97744
27141,85818
27143,62761
27145,60606
27147,62731
27149,58363
27151,48577
27153,52872
27155,48784
27157,65138
27159,45860
27161,55612
27163,92376
27165,51097
27167,54935
27169,55529
27171,81881
27173,56943
28001,29203
28003,40180
28005,31854
28007,34756
28009,35974
28011,29912
28013,36440
28015,43060
28017,35939
28019,37203
28021,26732
28023,39246
28025,35121
28027,30009
28029,40361
28031,35931
28033,65169
28035,40675
28037,40810
28039,48319
28041,49447
28043,36877
28045,47543
28047,45566
28049,43005
28051,21093
28053,28507
28055,25776
28057,40510
28059,51142
28061,35931
28063,20188
28065,30083
28067,41263
28069,28176
28071,47132
28073,58188
28075,41704
28077,42290
28079,33482
28081,47978
28083,26052
28085,40355
28087,45355
28089,71690
28091,31446
28093,41572
28095,40940
28097,33667
28099,36875
28101,33831
28103,36000
28105,38800
28107,36563
28109,45820
28111,39007
28113,30910
28115,41379
28117,37519
28119,25510
28121,64557
28123,33735
28125,28799
28127,37946
28129,41657
28131,44883
28133,30029
28135,30028
28137,51056
28139,39839
28141,37312
28143,37822
28145,41287
28147,29804
28149,43039
28151,30834
28153,37970
28155,40683
28157,26599
28159,36214
28161,41864
28163,31402
29001,40046
29003,55683
29005,48385
29007,43761
29009,41463
29011,41625
29013,46186
29015,38028
29017,42985
29019,54043
29021,50457
29023,39058
29025,48033
29027,55376
29029,52087
29031,51730
29033,42149
29035,39415
29037,67659
29039,39412
29041,46992
29043,57019
29045,47955
29047,68367
29049,58510
29051,57587
29053,48750
29055,38036
29057,39979
29059,41551
29061,50380
29063,50000
29065,39916
29067,34372
29069,34186
29071,55312
29073,53439
29075,42689
29077,44808
29079,42574
29081,40168
29083,43911
29085,36190
29087,45610
29089,50372
29091,36143
29093,37188
29095,52805
29097,46929
29099,63030
29101,53056
29103,40383
29105,46192
29107,54661
29109,43373
29111,47764
29113,61628
29115,43642
29117,47885
29119,42019
29121,40007
29123,41322
29125,44436
29127,46762
29129,44085
29131,42718
29133,32846
29135,54828
29137,43973
29139,45862
29141,37727
29143,35399
29145,49023
29147,43349
29149,32534
29151,58476
29153,32601
29155,33390
29157,54964
29159,44382
29161,42846
29163,45753
29165,76912
29167,44892
29169,51665
29171,37367
29173,55546
29175,46610
29177,59857
29179,40929
29181,33343
29183,81411
29185,38470
29186,56234
29187,45774
29189,65300
29195,43201
29197,39697
29199,42965
29201,42231
29203,32180
29205,44051
29207,40567
29209,46443
29211,42604
29213,41487
29215,35277
29217,43379
29219,57948
29221,39621
29223,34391
29225,47421
29227,52500
29229,32752
29510,41107
30001,44809
30003,46365
30005,38083
30007,56469
30009,57538
30011,44196
30013,48160
30015,40942
30017,55841
30019,54750
30021,59820
30023,41783
30025,60750
30027,50327
30029,52966
30031,61499
30033,45893
30035,31029
30037,39952
30039,48958
30041,47141
30043,66867
30045,45764
30047,45488
30049,62130
30051,47419
30053,38287
30055,47500
30057,50247
30059,43109
30061,41905
30063,51270
30065,41612
30067,49194
30069,44688
30071,46222
30073,45458
30075,52457
30077,49652
30079,47250
30081,48930
30083,67272
30085,42904
30087,56549
30089,36984
30091,54321
30093,42237
30095,63785
30097,49514
30099,51862
30101,46823
30103,42292
30105,55882
30107,41186
30109,50202
30111,59117
31001,51536
31003,48716
31005,43854
31007,59625
31009,50870
31011,54063
31013,56412
31015,50729
31017,41550
31019,56952
31021,51482
31023,55562
